track_id,track_name,album,artist_names,primary_artist_id,genres_raw,bucket
7N2PNxzZXxCdAHiAfsklhT,"Check Yes, Juliet",We The Kings,We The Kings,3ao3jf5d70Tf4fPh2bnXVl,pop-punk,pop-punk
7tYKa4wd7gL5LwcxidBPkG,Sad Song - feat. Elena Coats,Somewhere Somehow,"We The Kings, Elena Coats",3ao3jf5d70Tf4fPh2bnXVl,pop-punk,pop-punk
6XbmIuDxm4gWpVYoGg5DQX,Where I Belong (feat. We The Kings),Where I Belong (feat. We The Kings),"Simple Plan, State Champs, We The Kings",2p4FqHnazRucYQHyDCdBrJ,pop-punk; punk; emo; acoustic pop,pop-punk
3LVdtz2Snhw5riAZ3qWZrp,Grow Up,"No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)",Simple Plan,2p4FqHnazRucYQHyDCdBrJ,pop-punk; punk; emo,pop-punk
0oOY4xChdxmGgpyQrY2FBz,Jolene,Trouble,Ray LaMontagne,6DoH7ywD5BcQvjloe9OcIj,américain; contemporary folk; folk; folk rock; indie folk; rock and indie; singer-songwriter,rock
4mBYupeEa1e5Ep2HU7xToZ,Alabama Pines,Here We Rest,Jason Isbell and the 400 Unit,3Lg3FGwBxOGuefqekQzRUf,alt country; americana,country
57Q3rnE8SSxUAwHFzLXmIP,Glycerine - Piano Version,Glycerine + Name,John Allred,5Lm11SK4ucpjLoWPoOCJAJ,jazz,jazz
04JNyTyHA3tiig89AK4Wj5,Look The Other Way,The Surface,Beartooth,6vwjIs0tbIiseJMR3pqwiL,metalcore; post-hardcore,metal
4SJIVblEnmdhUHnCjanfsE,The Permanent Rain,Reach For The Sun,The Dangerous Summer,0iMnpaEHXkgMT956CmP1kj,pop-punk,pop-punk
1OTvWduKQV0MQd2gnGM9He,With Me,Underclass Hero,Sum 41,0qT79UgT5tY4yudH9VfsdT,pop-punk; punk; skate punk,pop-punk
2JVm1oOTS6NmAsfeT8Zhyq,"4,000 Days Plus The Ones I Don't Remember",Sweet,Mayday Parade,3WfJ1OtrWI7RViX9DMyEGy,pop-punk; emo,pop-punk
6JBX1drGsMrTE8JrAYYoou,Somebody That I Used To Know,"Punk Goes Pop, Vol. 5","Mayday Parade, Vic Fuentes",3WfJ1OtrWI7RViX9DMyEGy,pop-punk; emo,pop-punk
53R8kuDLB4gkxqWeyTEzaY,There For Me,There For Me,"Chad Tepper, Bowling For Soup",0Tcr6t5uyvDgOuNPCD36A3,pop-punk; punk,pop-punk
4mjo9U4xfSAtTkLpvQ6QDN,Better Days,Better Days,Yellowcard,3zxKH0qp3nBCuPZCZT5Vaf,pop-punk; punk; emo,pop-punk
60OKW0mZiPFHVpHl3eHueg,Fix Me,Feeding The Wolves (Deluxe Version),10 Years,0REMf7H0VP6DwfZ9MbuWph,post-grunge; alternative metal,metal
0XGV1bem5W9ICY2rgleryV,Chalk Outline,Transit Of Venus,Three Days Grace,2xiIXseIJcq3nG7C8fHeBj,post-grunge; rock,rock
68osIGtVjM7QWVe6pazLHj,Shadow Moses,Sempiternal (Expanded Edition),Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,metalcore; emo; screamo; rock; post-hardcore,emo
0ZEeEZnZ496lE6kN7bmSrp,Until The End,Phobia (Explicit Version),Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,alternative metal; post-grunge; rock; hard rock,metal
0CA3RxBx2xSQXPfpmUBK1v,Just Like You,Three Days Grace,Three Days Grace,2xiIXseIJcq3nG7C8fHeBj,post-grunge; rock,rock
1hkm127hnTSa2xjGNw8IAE,Disease,Disease,Beartooth,6vwjIs0tbIiseJMR3pqwiL,metalcore; post-hardcore,metal
2mMNBgFRyEiRoGvrdoONeq,A Grave Mistake,The Silver Scream,Ice Nine Kills,52qKfVcIV4GS8A8Vay2xtt,metalcore; metal,metal
3vIw7vxgUTPtppVwMfhcwo,All The Same,Dressed Up As Life,SICK PUPPIES,7qAcXJgt1PWnxwUgxMdyuk,alternative rock; australian; hard rock; post-grunge; rock,alternative rock
